"id","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
10160,-117.95,33.9,15,3057,479,1679,498,6.8429,372600,"<1H OCEAN"
9747,-121.62,36.63,52,1437,298,836,257,3.6286,165500,"<1H OCEAN"
5113,-118.29,33.97,48,3139,587,1319,506,3.5208,134200,"<1H OCEAN"
334,-122.17,37.74,43,818,193,494,179,2.4776,101600,"NEAR BAY"
10198,-117.94,33.86,35,2127,417,1247,378,4.75,185600,"<1H OCEAN"
14200,-117.02,32.7,22,2756,516,1849,486,4.1837,125400,"NEAR OCEAN"
6488,-118,34.1,34,2249,460,1544,441,3.4005,176300,"INLAND"
9866,-121.83,36.61,27,5665,1281,3612,1191,3.0542,142100,"<1H OCEAN"
9286,-122.56,38.09,17,9614,2123,4684,2060,4.1705,209800,"NEAR BAY"
10387,-117.64,33.61,14,5232,810,3041,839,5.826,247900,"<1H OCEAN"
8864,-118.38,34.06,52,1311,217,578,205,7.6771,500001,"<1H OCEAN"
497,-122.26,37.85,52,3618,768,1508,755,3.2619,309600,"NEAR BAY"
13793,-117.44,34.45,6,6068,1137,3094,947,3.5167,130900,"INLAND"
358,-122.15,37.76,39,1823,286,763,270,6.0749,196900,"NEAR BAY"
17818,-121.83,37.4,27,1145,150,492,160,5.716,348300,"<1H OCEAN"
15631,-122.41,37.8,52,2450,741,1415,664,2.8229,375000,"NEAR BAY"
1788,-122.35,37.93,28,1995,488,1182,439,2.3352,84300,"NEAR BAY"
11191,-117.94,33.82,29,1422,409,1057,390,2.3347,208100,"<1H OCEAN"
12384,-116.37,33.72,17,8626,1859,3497,1337,3.312,121300,"INLAND"
17402,-120.44,34.93,16,2098,558,1252,492,2.1509,67500,"<1H OCEAN"
13189,-117.7,34.09,25,1719,331,1098,324,3.625,121800,"INLAND"
2553,-124.17,40.77,30,1895,366,990,359,2.2227,81300,"NEAR OCEAN"
8595,-118.37,33.88,21,966,172,417,158,5.5335,342600,"<1H OCEAN"
255,-122.2,37.77,49,2272,498,1621,483,2.4338,102400,"NEAR BAY"
9709,-121.65,36.67,28,1926,556,1717,535,1.9385,123200,"<1H OCEAN"
2702,-115.57,32.85,33,1365,269,825,250,3.2396,62300,"INLAND"
19538,-120.92,37.65,23,505,124,163,129,1.3696,275000,"INLAND"
20137,-119.06,34.37,32,3885,759,2504,736,3.6453,201700,"<1H OCEAN"
20292,-119.19,34.17,35,4276,767,3295,708,4.2583,187300,"NEAR OCEAN"
12864,-121.37,38.7,26,2230,410,1155,377,3.4911,88200,"INLAND"
19722,-121.91,39.14,45,845,155,343,136,2.125,62000,"INLAND"
3096,-118.61,35.47,13,2267,601,756,276,2.5474,78400,"INLAND"
14870,-117.09,32.63,27,2920,770,1935,746,2.4148,67500,"NEAR OCEAN"
2501,-120.38,36.75,25,1689,495,1745,457,1.9056,60000,"INLAND"
19960,-119.32,36.25,21,1231,NA,609,206,2.8365,90000,"INLAND"
364,-122.14,37.75,36,690,105,299,109,4.0313,195500,"NEAR BAY"
1235,-120.33,38.26,13,2962,546,252,103,4.4063,155800,"INLAND"
17337,-120.45,34.88,15,2143,286,929,315,5.7306,269700,"<1H OCEAN"
11711,-120.16,39.14,21,2484,460,309,144,3.9722,127800,"INLAND"
47,-122.26,37.83,50,1125,322,616,304,2.026,142500,"NEAR BAY"
17208,-119.72,34.43,46,1332,329,746,310,3.6719,357400,"<1H OCEAN"
12872,-121.36,38.69,13,6850,1400,4251,1421,3.6989,93300,"INLAND"
1093,-121.87,39.82,11,5103,825,2456,810,4.5032,159700,"INLAND"
13790,-117.62,34.44,6,8884,1687,3767,1334,3.599,140200,"INLAND"
4639,-118.29,34.06,46,1759,1012,2716,877,2.1637,350000,"<1H OCEAN"
10260,-117.85,33.86,18,329,72,209,71,4.6806,187500,"<1H OCEAN"
6670,-118.11,34.16,52,3158,459,1229,444,5.4223,325600,"INLAND"
20507,-118.73,34.29,8,4983,754,2510,725,6.9454,276500,"<1H OCEAN"
15522,-117.07,33.13,33,555,165,612,176,2.1786,137500,"<1H OCEAN"
9685,-121.64,36.72,17,4203,816,2900,827,4.1742,159900,"<1H OCEAN"
11631,-118.03,33.82,17,1851,346,770,310,5.6093,244400,"<1H OCEAN"
1842,-122.29,37.91,46,2085,346,748,354,4.0536,262000,"NEAR BAY"
10457,-117.64,33.49,3,2516,429,781,337,5.6197,271600,"<1H OCEAN"
13367,-117.63,33.94,36,447,95,2886,85,4.2578,183300,"INLAND"
16592,-121.44,37.73,7,8363,1314,3907,1068,5.3321,208100,"INLAND"
13673,-117.24,34.04,17,3362,507,1520,496,6.1986,214500,"INLAND"
15948,-122.43,37.72,52,3351,719,2101,706,3.0107,242000,"NEAR BAY"
6341,-117.9,33.98,20,9893,2283,7228,2159,3.253,186700,"<1H OCEAN"
15832,-122.43,37.76,52,2332,434,861,406,4.4318,437500,"NEAR BAY"
15490,-117.13,33.14,12,2258,456,1147,433,4.0495,153900,"<1H OCEAN"
2253,-119.83,36.8,24,3756,681,1586,739,3.8571,90100,"INLAND"
15046,-116.92,32.77,16,2770,406,1269,429,6.6783,275000,"<1H OCEAN"
7011,-118.08,33.97,38,1026,190,789,193,4.2,163200,"<1H OCEAN"
16241,-121.29,37.99,41,930,191,463,185,3.4141,90600,"INLAND"
12698,-121.42,38.6,36,1327,209,613,230,3.8672,111400,"INLAND"
14998,-117.05,32.72,35,3669,617,1694,585,3.9485,133900,"NEAR OCEAN"
9570,-120.61,37.32,18,5009,826,2497,805,4.25,146300,"INLAND"
14069,-117.12,32.76,23,2681,717,1279,648,2.1597,116100,"NEAR OCEAN"
6305,-117.92,34,36,116,30,193,35,3.8125,136300,"<1H OCEAN"
6991,-118.04,33.97,25,2945,914,2313,832,2.5686,177500,"<1H OCEAN"
6854,-118.16,34.07,42,3836,777,2118,754,3.6364,254600,"<1H OCEAN"
16485,-121.06,38.25,13,651,102,301,104,3.6528,2e+05,"INLAND"
7009,-118.06,33.97,39,1639,300,988,309,3.9612,175800,"<1H OCEAN"
12456,-114.61,33.62,16,1187,261,1115,242,2.1759,61500,"INLAND"
1627,-122.16,37.86,36,3359,493,1298,483,8.1586,404300,"NEAR BAY"
611,-122.09,37.69,20,4296,817,1732,800,4.8036,188300,"NEAR BAY"
15919,-122.42,37.74,52,1540,370,1136,363,4.3125,243000,"NEAR BAY"
3677,-118.39,34.21,14,2807,868,2729,803,2.6667,172400,"<1H OCEAN"
19528,-120.96,37.64,41,1467,328,673,310,2.7917,90700,"INLAND"
16669,-120.69,35.25,15,4210,899,1933,867,2.794,262500,"NEAR OCEAN"
18326,-122.15,37.46,39,906,109,353,112,10.3942,500001,"NEAR BAY"
14535,-117.14,32.93,14,1946,463,1205,390,4.2109,171200,"<1H OCEAN"
7939,-118.11,33.86,33,2389,410,1229,393,5.3889,234900,"<1H OCEAN"
10723,-117.8,33.63,8,32,9,26,11,4.1944,270800,"<1H OCEAN"
10456,-117.65,33.49,16,2223,454,628,382,4.3603,248800,"<1H OCEAN"
1623,-122.14,37.86,20,6201,1182,2415,1141,4.5744,314000,"NEAR BAY"
3600,-118.5,34.24,34,2634,412,1114,423,5.9401,315300,"<1H OCEAN"
8340,-118.31,33.93,43,1834,292,997,295,4.9464,150300,"<1H OCEAN"
14100,-117.09,32.76,29,1650,496,882,445,2.2287,140000,"NEAR OCEAN"
13936,-117.3,34.24,38,4116,949,1196,422,3.5625,96500,"INLAND"
17670,-121.86,37.31,24,1939,652,1808,625,2.2259,112500,"<1H OCEAN"
15824,-122.42,37.75,52,1609,510,1155,439,2.2328,250000,"NEAR BAY"
7652,-118.28,33.83,28,880,168,717,142,4.5469,175700,"<1H OCEAN"
17961,-121.99,37.33,33,2023,425,1016,405,3.9417,285800,"<1H OCEAN"
20144,-119.06,34.35,34,2426,646,2116,631,2.0682,158300,"<1H OCEAN"
11670,-118.01,33.86,29,2307,452,1218,402,3.4306,194200,"<1H OCEAN"
9330,-122.47,37.95,16,3769,839,1986,815,3.9712,187500,"NEAR BAY"
11297,-117.92,33.79,26,2737,614,1877,606,2.8622,184300,"<1H OCEAN"
12165,-117.22,33.74,7,1810,386,931,355,2.5221,109200,"<1H OCEAN"
1707,-122.32,37.95,37,1887,353,895,359,4.45,196600,"NEAR BAY"
15234,-117.23,33.01,18,3961,511,1541,470,11.1118,500001,"NEAR OCEAN"
4455,-118.17,34.1,37,299,89,318,92,1.3125,145800,"<1H OCEAN"
8026,-118.11,33.84,36,1523,263,717,278,4.875,218900,"<1H OCEAN"
3505,-118.45,34.26,35,1724,311,992,315,4.8359,195600,"<1H OCEAN"
19649,-120.89,37.48,27,1118,195,647,209,2.9135,159400,"INLAND"
17651,-121.88,37.26,25,3025,689,1755,661,3.8893,218600,"<1H OCEAN"
3571,-118.59,34.22,17,6015,1464,3056,1347,4.0077,229000,"<1H OCEAN"
12621,-121.53,38.5,17,3087,477,1365,495,6.4667,216800,"INLAND"
10168,-117.94,33.89,30,2577,404,1076,374,6.7528,459600,"<1H OCEAN"
20188,-119.18,34.27,6,2307,386,910,364,5.215,279500,"NEAR OCEAN"
5429,-118.41,34.02,34,1430,357,805,362,3.3462,307000,"<1H OCEAN"
17605,-121.89,37.3,47,2355,426,961,428,5.3955,282300,"<1H OCEAN"
11172,-117.98,33.82,34,1290,220,867,241,5.5486,218100,"<1H OCEAN"
17939,-121.94,37.34,29,3377,853,1674,792,3.4233,229300,"<1H OCEAN"
8826,-118.36,34.09,33,3463,1170,1845,1134,2.0205,243800,"<1H OCEAN"
